participant_id,community_group,endpoint_id,lock,erp_component,window_start_ms,window_end_ms,electrodes,compatibility,stimulus_factor,stimulus_level,semantic_cell_id,retained_trial_count,mean_amplitude_uv
ERP050,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,20,-0.84449013473278034
ERP050,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,20,-0.19596684046228657
ERP050,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,20,-2.7073785078647843
ERP050,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,20,0.035674593192815185
ERP051,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,17,-1.2065713363314345
ERP051,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,15,-1.8229616267466284
ERP051,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,15,-2.6940552208166415
ERP051,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,12,-1.1167317454395023
ERP052,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,20,-6.4539868584416089
ERP052,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,negative,compatible_negative,20,-5.2425087681618994
ERP052,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,negative,incompatible_negative,20,-5.2653947982844054
ERP052,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,incompatible,word_valence,positive,incompatible_positive,18,-1.7569737010660296
ERP053,low-support,word_N2,word,N2,160,240,P7|P8|PO7|PO5,compatible,word_valence,positive,compatible_positive,19,-3.9085789734094871
